time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
37.75,0,2.948189399,2.894485286,0.479090726,47.90907265,7.707465391,0,1.073140467,FALSE
37.8,1,2.957161637,2.889695867,0.478365445,47.83654446,7.707465391,0,1.092302797,FALSE
37.85,1,2.985622189,2.892549052,0.478231257,47.82312573,7.707465391,0,1.121007141,FALSE
37.9,0,2.977508213,2.898183939,0.47912597,47.91259697,7.707465391,0,1.140136839,FALSE
37.95,0,2.95032867,2.896592667,0.479513042,47.95130425,7.707465391,0,1.168881415,FALSE
38,1,2.959292414,2.891794881,0.478786084,47.8786084,7.707465391,0,1.188060646,FALSE
38.05,1,2.987740291,2.894635578,0.478649394,47.86493943,7.707465391,0,1.216790235,FALSE
38.1,0,2.979617906,2.900262182,0.479542447,47.95424467,7.707465391,0,1.235936666,FALSE
38.15,0,2.952425812,2.898658546,0.479927042,47.99270419,7.707465391,0,1.264706236,FALSE
38.2,1,2.961381231,2.893852559,0.47919844,47.91984398,7.707465391,0,1.283902036,FALSE
38.25,1,2.989816681,2.896681016,0.479059297,47.9059297,7.707465391,0,1.312656371,FALSE
38.3,0,2.981686053,2.902299499,0.479950722,47.99507221,7.707465391,0,1.331819206,FALSE
38.35,0,2.954481655,2.900683743,0.480332888,48.03328884,7.707465391,0,1.360613278,FALSE
38.4,1,2.963428913,2.895869716,0.479602675,47.96026752,7.707465391,0,1.37982532,FALSE
38.45,1,2.991852181,2.898686172,0.479461127,47.94611275,7.707465391,0,1.408603914,FALSE
38.5,0,2.983713472,2.904296695,0.480350957,48.03509574,7.707465391,0,1.427782831,FALSE
38.55,0,2.956497013,2.902669058,0.480730743,48.07307427,7.707465391,0,1.456600923,FALSE
38.6,1,2.96543627,2.897847149,0.47999895,47.999895,7.707465391,0,1.475828887,FALSE
38.65,1,2.993847596,2.900651841,0.479855045,47.98550448,7.707465391,0,1.504631263,FALSE
38.7,0,2.985700966,2.906254561,0.480743311,48.07433109,7.707465391,0,1.523825944,FALSE
38.75,0,2.958472683,2.904615276,0.481120762,48.1120762,7.707465391,0,1.552667582,FALSE
38.8,1,2.967404096,2.899785641,0.480387421,48.0387421,7.707465391,0,1.571911154,FALSE
38.85,1,2.995803716,2.902578801,0.480241205,48.02412048,7.707465391,0,1.600736844,FALSE
38.9,0,2.98764932,2.90817387,0.481127938,48.11279378,7.707465391,0,1.61994698,FALSE
38.95,0,2.960409446,2.906523168,0.481503101,48.15031008,7.707465391,0,1.6488117,FALSE
39,1,2.969333171,2.901685958,0.480768242,48.07682418,7.707465391,0,1.668070574,FALSE
39.05,1,2.997721314,2.904467813,0.48061976,48.06197602,7.707465391,0,1.696919118,FALSE
39.1,0,2.989559305,2.910055383,0.48150499,48.15049903,7.707465391,0,1.716144403,FALSE
39.15,0,2.962308069,2.908393487,0.48187791,48.18779102,7.707465391,0,1.745031752,FALSE
39.2,1,2.971224256,2.903548853,0.481141563,48.11415633,7.707465391,0,1.764305625,FALSE
